,CustomerID,genero,esEstudiante,casado,tieneHijos,numeroCursosInscritos,antiguidad,haUsadoElServicioBasico,usaServicioBasicoRegularmente,tipoDeUsuario,usaServicioPlataRegularmente,usaServicioOroRegularmente,haPagadoContenidoIndividual,haContactoASoporte,usaTabletParaAcceder,usaMovilParaAcceder,tipoDeContrato,pagoDigital,metodoDePago,cargosMensuales,cargosAccumulados,usuarioPerdido
25,6865-JZNKO,Feminino,0,No,No,3,30,Sí,No,Plata,Sí,No tiene acceso,No,No,No,No,Mensual,Sí,Transferencia Bancaria (Domiciliado),55.3,1530.6,0
26,6467-CHFZW,Masculino,0,Sí,Sí,7,47,Sí,Sí,Oro,No,Sí,No,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,99.35,4749.15,1
27,8665-UTDHZ,Masculino,0,Sí,Sí,1,1,No,No,Plata,No,No tiene acceso,No,No,No,No,Mensual,No,Transferencia Bancaria,30.2,30.2,1
28,5248-YGIJN,Masculino,0,Sí,No,15,72,Sí,Sí,Plata,Sí,No tiene acceso,Sí,Sí,Sí,Sí,Anual,Sí,Tarjeta de credito (Domeciliado,90.25,6369.45,0
29,8773-HHUOZ,Feminino,0,No,Sí,5,17,Sí,No,Plata,No,No tiene acceso,No,No,Sí,Sí,Mensual,Sí,Pago en tienda,64.7,1093.1,1
30,3841-NFECX,Feminino,1,Sí,No,8,71,Sí,Sí,Oro,Sí,Sí,Sí,Sí,No,No,Anual,Sí,Tarjeta de credito (Domeciliado,96.35,6766.95,0
31,4929-XIHVW,Masculino,1,Sí,No,1,2,Sí,No,Oro,No,No,Sí,No,Sí,Sí,Mensual,Sí,Tarjeta de credito (Domeciliado,95.5,181.65,0
32,6827-IEAUQ,Feminino,0,Sí,Sí,2,27,Sí,No,Plata,Sí,No tiene acceso,Sí,Sí,No,No,Trimestral,No,Pago en tienda,66.15,1874.45,0
33,7310-EGVHZ,Masculino,0,No,No,1,1,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Transferencia Bancaria (Domiciliado),20.2,20.2,0
34,3413-BMNZE,Masculino,1,No,No,1,1,Sí,No,Plata,No,No tiene acceso,No,No,No,No,Mensual,No,Transferencia Bancaria (Domiciliado),45.25,45.25,0
35,6234-RAAPL,Feminino,0,Sí,Sí,14,72,Sí,Sí,Oro,Sí,Sí,No,Sí,Sí,No,Anual,No,Transferencia Bancaria (Domiciliado),99.9,7251.7,0
36,6047-YHPVI,Masculino,0,No,No,2,5,Sí,No,Oro,No,No,No,No,No,No,Mensual,Sí,Transferencia Bancaria,69.7,316.9,1
37,6572-ADKRS,Feminino,0,No,No,6,46,Sí,No,Oro,No,No,Sí,No,No,No,Mensual,Sí,Tarjeta de credito (Domeciliado,74.8,3548.3,0
38,5380-WJKOV,Masculino,0,No,No,4,34,Sí,Sí,Oro,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,106.35,3549.25,1
39,8168-UQWWF,Feminino,0,No,No,3,11,Sí,Sí,Oro,No,No,Sí,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria (Domiciliado),97.85,1105.4,1
40,8865-TNMNX,Masculino,0,Sí,Sí,3,10,Sí,No,Plata,No,No tiene acceso,No,No,No,No,Trimestral,No,Pago en tienda,49.55,475.7,0
41,9489-DEDVP,Feminino,0,Sí,Sí,8,70,Sí,Sí,Plata,Sí,No tiene acceso,No,No,Sí,No,Anual,Sí,Tarjeta de credito (Domeciliado,69.2,4872.35,0
42,9867-JCZSP,Feminino,0,Sí,Sí,5,17,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Trimestral,No,Pago en tienda,20.75,418.25,0
43,4671-VJLCL,Feminino,0,No,No,7,63,Sí,Sí,Plata,Sí,No tiene acceso,Sí,Sí,Sí,No,Anual,Sí,Tarjeta de credito (Domeciliado,79.85,4861.45,0
44,4080-IIARD,Feminino,0,Sí,No,4,13,Sí,Sí,Plata,Sí,No tiene acceso,No,Sí,Sí,No,Mensual,Sí,Transferencia Bancaria,76.2,981.45,0
45,3714-NTNFO,Feminino,0,No,No,7,49,Sí,Sí,Oro,No,No,No,No,No,Sí,Mensual,Sí,Transferencia Bancaria,84.5,3906.7,0
46,5948-UJZLF,Masculino,0,No,No,1,2,Sí,No,Plata,No,No tiene acceso,No,No,No,No,Mensual,No,Pago en tienda,49.25,97.0,0
47,7760-OYPDY,Feminino,0,No,No,1,2,Sí,No,Oro,No,No,No,No,Sí,No,Mensual,Sí,Transferencia Bancaria,80.65,144.15,1
48,7639-LIAYI,Masculino,0,No,No,8,52,Sí,Sí,Plata,Sí,No tiene acceso,No,Sí,Sí,Sí,Anual,Sí,Tarjeta de credito (Domeciliado,79.75,4217.8,0
49,2954-PIBKO,Feminino,0,Sí,Sí,8,69,Sí,Sí,Plata,Sí,No tiene acceso,Sí,Sí,No,No,Anual,Sí,Tarjeta de credito (Domeciliado,64.15,4254.1,0
50,8012-SOUDQ,Feminino,1,No,No,6,43,Sí,Sí,Oro,No,Sí,No,No,Sí,No,Mensual,Sí,Transferencia Bancaria,90.25,3838.75,0
51,9420-LOJKX,Feminino,0,No,No,4,15,Sí,No,Oro,Sí,Sí,No,No,Sí,Sí,Mensual,Sí,Tarjeta de credito (Domeciliado,99.1,1426.4,1
52,6575-SUVOI,Feminino,1,Sí,No,6,25,Sí,Sí,Plata,Sí,No tiene acceso,No,Sí,Sí,No,Mensual,Sí,Tarjeta de credito (Domeciliado,69.5,1752.65,0
53,7495-OOKFY,Feminino,1,Sí,No,2,8,Sí,Sí,Oro,No,Sí,No,No,No,No,Mensual,Sí,Tarjeta de credito (Domeciliado,80.65,633.3,1
54,4667-QONEA,Feminino,1,Sí,Sí,10,60,Sí,No,Plata,Sí,No tiene acceso,Sí,Sí,No,Sí,Trimestral,Sí,Tarjeta de credito (Domeciliado,74.85,4456.35,0
55,1658-BYGOY,Masculino,1,No,No,5,18,Sí,Sí,Oro,No,No,No,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,95.45,1752.55,1
56,8769-KKTPH,Feminino,0,Sí,Sí,7,63,Sí,Sí,Oro,Sí,No,No,No,Sí,Sí,Trimestral,Sí,Tarjeta de credito (Domeciliado,99.65,6311.2,0
57,5067-XJQFU,Masculino,1,Sí,Sí,7,66,Sí,Sí,Oro,No,Sí,Sí,Sí,Sí,Sí,Trimestral,Sí,Transferencia Bancaria,108.45,7076.35,0
58,3957-SQXML,Feminino,0,Sí,Sí,4,34,Sí,Sí,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Tarjeta de credito (Domeciliado,24.95,894.3,0
59,5954-BDFSG,Feminino,0,No,No,16,72,Sí,Sí,Oro,No,No,Sí,Sí,Sí,Sí,Anual,Sí,Tarjeta de credito (Domeciliado,107.5,7853.7,0
60,0434-CSFON,Feminino,0,Sí,No,7,47,Sí,Sí,Oro,No,No,Sí,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,100.5,4707.1,0
61,1215-FIGMP,Masculino,0,No,No,10,60,Sí,Sí,Oro,No,Sí,No,No,Sí,No,Mensual,Sí,Transferencia Bancaria (Domiciliado),89.9,5450.7,0
62,0526-SXDJP,Masculino,0,Sí,No,17,72,No,No,Plata,Sí,No tiene acceso,Sí,No,No,No,Anual,No,Transferencia Bancaria (Domiciliado),42.1,2962.0,0
63,0557-ASKVU,Feminino,0,Sí,Sí,5,18,Sí,No,Plata,No,No tiene acceso,Sí,Sí,No,No,Trimestral,Sí,Tarjeta de credito (Domeciliado,54.4,957.1,0
64,5698-BQJOH,Feminino,0,No,No,3,9,Sí,Sí,Oro,No,No,No,No,Sí,Sí,Mensual,No,Transferencia Bancaria,94.4,857.25,1
65,5122-CYFXA,Feminino,0,No,No,1,3,Sí,No,Plata,No,No tiene acceso,No,Sí,Sí,Sí,Mensual,Sí,Transferencia Bancaria,75.3,244.1,0
66,8627-ZYGSZ,Masculino,0,Sí,No,7,47,Sí,Sí,Oro,No,Sí,No,No,No,No,Trimestral,Sí,Transferencia Bancaria,78.9,3650.35,0
67,3410-YOQBQ,Feminino,0,No,No,3,31,Sí,No,Plata,No,No tiene acceso,Sí,Sí,Sí,Sí,Anual,No,Pago en tienda,79.2,2497.2,0
68,3170-NMYVV,Feminino,0,Sí,Sí,7,50,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Transferencia Bancaria (Domiciliado),20.15,930.9,0
69,7410-OIEDU,Masculino,0,No,No,3,10,Sí,No,Oro,Sí,No,Sí,No,No,No,Mensual,Sí,Pago en tienda,79.85,887.35,0
70,2273-QCKXA,Masculino,0,No,No,1,1,Sí,No,Plata,No,No tiene acceso,No,Sí,No,No,Mensual,No,Pago en tienda,49.05,49.05,0
71,0731-EBJQB,Feminino,0,Sí,Sí,8,52,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Trimestral,Sí,Transferencia Bancaria,20.4,1090.65,0
72,1891-QRQSA,Masculino,1,Sí,Sí,7,64,Sí,Sí,Oro,Sí,No,Sí,Sí,Sí,Sí,Anual,Sí,Transferencia Bancaria (Domiciliado),111.6,7099.0,0
73,8028-PNXHQ,Masculino,0,Sí,Sí,10,62,Sí,Sí,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,Sí,Transferencia Bancaria (Domiciliado),24.25,1424.6,0
74,5630-AHZIL,Feminino,0,No,Sí,1,3,Sí,No,Plata,Sí,No tiene acceso,No,Sí,No,Sí,Mensual,Sí,Transferencia Bancaria (Domiciliado),64.5,177.4,0
75,2673-CXQEU,Feminino,1,No,No,9,56,Sí,Sí,Oro,Sí,Sí,Sí,No,Sí,Sí,Trimestral,No,Transferencia Bancaria,110.5,6139.5,0
76,6416-JNVRK,Feminino,0,No,No,6,46,Sí,No,Plata,No,No tiene acceso,No,No,No,Sí,Trimestral,No,Tarjeta de credito (Domeciliado,55.65,2688.85,0
77,5590-ZSKRV,Feminino,0,Sí,Sí,2,8,Sí,No,Plata,Sí,No tiene acceso,No,No,No,No,Mensual,No,Pago en tienda,54.65,482.25,0
78,0191-ZHSKZ,Masculino,1,No,No,3,30,Sí,No,Plata,Sí,No tiene acceso,No,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,74.75,2111.3,0
79,3887-PBQAO,Feminino,0,Sí,Sí,6,45,Sí,Sí,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Trimestral,Sí,Tarjeta de credito (Domeciliado,25.9,1216.6,0
80,5919-TMRGD,Feminino,0,No,Sí,1,1,Sí,No,Oro,No,No,No,No,Sí,No,Mensual,Sí,Transferencia Bancaria,79.35,79.35,1
81,8108-UXRQN,Feminino,0,Sí,Sí,3,11,No,No,Plata,Sí,No tiene acceso,No,No,Sí,Sí,Mensual,No,Transferencia Bancaria,50.55,565.35,0
82,9191-MYQKX,Feminino,0,Sí,No,2,7,Sí,No,Oro,No,No,Sí,No,No,No,Mensual,Sí,Transferencia Bancaria (Domiciliado),75.15,496.9,1
83,9919-YLNNG,Feminino,0,No,No,6,42,Sí,No,Oro,No,Sí,Sí,Sí,Sí,Sí,Mensual,Sí,Transferencia Bancaria (Domiciliado),103.8,4327.5,0
84,0318-ZOPWS,Feminino,0,Sí,No,7,49,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,Sí,Transferencia Bancaria (Domiciliado),20.15,973.35,0
85,4445-ZJNMU,Masculino,0,No,No,3,9,Sí,Sí,Oro,No,Sí,No,No,Sí,Sí,Mensual,Sí,Tarjeta de credito (Domeciliado,99.3,918.75,0
86,4808-YNLEU,Feminino,0,Sí,No,4,35,Sí,No,Plata,Sí,No tiene acceso,No,No,Sí,No,Trimestral,Sí,Transferencia Bancaria (Domiciliado),62.15,2215.45,0
87,1862-QRWPE,Feminino,0,Sí,Sí,7,48,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Transferencia Bancaria (Domiciliado),20.65,1057.0,0
88,2796-NNUFI,Feminino,0,Sí,Sí,6,46,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,Sí,Pago en tienda,19.95,927.1,0
89,3016-KSVCP,Masculino,0,Sí,No,2,29,No,No,Plata,No,No tiene acceso,No,No,Sí,No,Mensual,No,Pago en tienda,33.75,1009.25,0
90,4767-HZZHQ,Masculino,0,Sí,Sí,3,30,Sí,No,Oro,No,Sí,Sí,No,No,No,Mensual,No,Transferencia Bancaria (Domiciliado),82.05,2570.2,0
91,2424-WVHPL,Masculino,1,No,No,1,1,Sí,No,Oro,No,No,No,Sí,No,No,Mensual,No,Transferencia Bancaria,74.7,74.7,0
92,7233-PAHHL,Masculino,0,Sí,Sí,7,66,Sí,Sí,Plata,Sí,No tiene acceso,Sí,Sí,Sí,Sí,Anual,Sí,Pago en tienda,84.0,5714.25,0
93,6067-NGCEU,Feminino,0,No,No,7,65,Sí,Sí,Oro,Sí,Sí,Sí,No,Sí,Sí,Mensual,Sí,Tarjeta de credito (Domeciliado,111.05,7107.0,0
94,9848-JQJTX,Masculino,0,No,No,17,72,Sí,Sí,Oro,No,Sí,Sí,No,Sí,Sí,Anual,Sí,Transferencia Bancaria (Domiciliado),100.9,7459.05,0
95,8637-XJIVR,Feminino,0,No,No,3,12,Sí,Sí,Oro,Sí,No,No,No,No,No,Mensual,Sí,Transferencia Bancaria,78.95,927.35,1
96,9803-FTJCG,Masculino,0,Sí,Sí,8,71,Sí,Sí,Plata,Sí,No tiene acceso,No,Sí,No,No,Trimestral,Sí,Tarjeta de credito (Domeciliado,66.85,4748.7,0
97,0278-YXOOG,Masculino,0,No,No,2,5,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Pago en tienda,21.05,113.85,1
98,3212-KXOCR,Masculino,0,No,No,8,52,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Transferencia Bancaria (Domiciliado),21.0,1107.2,0
99,4598-XLKNJ,Feminino,1,Sí,No,6,25,Sí,No,Oro,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,98.5,2514.5,1
100,6380-ARCEH,Masculino,0,No,No,1,1,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Pago en tienda,20.2,20.2,0
101,3679-XASPY,Feminino,0,Sí,Sí,1,1,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Transferencia Bancaria,19.45,19.45,0
102,7123-WQUHX,Masculino,0,No,No,5,38,Sí,Sí,Oro,No,No,Sí,Sí,Sí,No,Trimestral,No,Transferencia Bancaria (Domiciliado),95.0,3605.6,0
103,5386-THSLQ,Feminino,1,Sí,No,7,66,No,No,Plata,No,No tiene acceso,Sí,No,Sí,No,Trimestral,No,Transferencia Bancaria (Domiciliado),45.55,3027.25,0
104,3192-NQECA,Masculino,0,Sí,No,8,68,Sí,Sí,Oro,No,Sí,Sí,Sí,Sí,Sí,Anual,Sí,Transferencia Bancaria (Domiciliado),110.0,7611.85,1
105,6180-YBIQI,Masculino,0,No,No,2,5,No,No,Plata,No,No tiene acceso,No,No,No,No,Mensual,No,Pago en tienda,24.3,100.2,0
106,6728-DKUCO,Feminino,0,Sí,Sí,15,72,Sí,Sí,Oro,Sí,Sí,No,No,Sí,Sí,Trimestral,Sí,Transferencia Bancaria,104.15,7303.05,0
107,9750-BOOHV,Feminino,0,No,No,3,32,No,No,Plata,Sí,No tiene acceso,No,No,No,No,Trimestral,No,Pago en tienda,30.15,927.65,0
108,8597-CWYHH,Masculino,0,No,No,6,43,Sí,Sí,Oro,No,No,No,No,Sí,Sí,Trimestral,No,Pago en tienda,94.35,3921.3,0
109,2848-YXSMW,Masculino,0,Sí,Sí,13,72,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Tarjeta de credito (Domeciliado,19.4,1363.25,0
110,0486-HECZI,Masculino,0,Sí,No,9,55,Sí,Sí,Oro,Sí,Sí,No,No,Sí,No,Mensual,Sí,Transferencia Bancaria,96.75,5238.9,1
111,4549-ZDQYY,Feminino,0,No,No,8,52,Sí,No,Plata,Sí,No tiene acceso,Sí,Sí,No,No,Trimestral,No,Tarjeta de credito (Domeciliado,57.95,3042.25,0
112,5712-AHQNN,Feminino,0,No,No,6,43,Sí,No,Oro,No,Sí,Sí,No,Sí,No,Mensual,Sí,Transferencia Bancaria,91.65,3954.1,0
113,4846-WHAFZ,Feminino,1,Sí,No,4,37,Sí,Sí,Oro,No,No,No,No,No,No,Mensual,Sí,Transferencia Bancaria,76.5,2868.15,1
114,5256-SKJGO,Feminino,0,Sí,Sí,7,64,No,No,Plata,No,No tiene acceso,No,Sí,Sí,Sí,Anual,Sí,Transferencia Bancaria,54.6,3423.5,0
115,3071-VBYPO,Masculino,0,Sí,Sí,1,3,Sí,No,Oro,Sí,Sí,No,No,Sí,No,Mensual,No,Transferencia Bancaria,89.85,248.4,0
116,9560-BBZXK,Feminino,0,No,No,4,36,No,No,Plata,Sí,No tiene acceso,No,No,No,No,Anual,No,Transferencia Bancaria (Domiciliado),31.05,1126.35,0
117,5299-RULOA,Feminino,0,Sí,Sí,3,10,Sí,Sí,Oro,Sí,No,No,No,Sí,Sí,Mensual,Sí,Transferencia Bancaria,100.25,1064.65,1
118,8402-OOOHJ,Feminino,0,No,No,5,41,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Pago en tienda,20.65,835.15,0
119,9445-ZUEQE,Masculino,0,Sí,Sí,2,27,Sí,Sí,Oro,No,Sí,No,Sí,No,No,Mensual,Sí,Tarjeta de credito (Domeciliado,85.2,2151.6,0
120,1091-SOZGA,Feminino,0,Sí,Sí,9,56,Sí,Sí,Oro,No,No,Sí,No,Sí,Sí,Trimestral,Sí,Tarjeta de credito (Domeciliado,99.8,5515.45,0
121,2928-HLDBA,Feminino,0,No,No,2,6,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Pago en tienda,20.7,112.75,0
122,0404-SWRVG,Masculino,0,No,No,1,3,Sí,Sí,Oro,No,No,No,No,No,No,Mensual,Sí,Transferencia Bancaria,74.4,229.55,1
123,6497-TILVL,Feminino,0,Sí,Sí,2,7,Sí,No,Plata,Sí,No tiene acceso,No,No,No,No,Mensual,No,Pago en tienda,50.7,350.35,0
124,7219-TLZHO,Feminino,0,Sí,Sí,1,4,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Pago en tienda,20.85,62.9,0
125,4622-YNKIJ,Masculino,0,No,No,3,33,Sí,No,Oro,Sí,No,No,Sí,Sí,No,Anual,Sí,Transferencia Bancaria,88.95,3027.65,0
126,4412-YLTKF,Feminino,1,No,No,2,27,Sí,Sí,Oro,No,No,Sí,No,No,No,Mensual,Sí,Transferencia Bancaria,78.05,2135.5,1
127,6734-PSBAW,Masculino,0,Sí,No,11,72,Sí,Sí,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,Sí,Transferencia Bancaria (Domiciliado),23.55,1723.95,0
128,3930-ZGWVE,Masculino,0,No,No,1,1,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Mensual,No,Pago en tienda,19.75,19.75,0
129,2639-UGMAZ,Masculino,1,No,No,8,71,No,No,Plata,Sí,No tiene acceso,No,No,Sí,Sí,Trimestral,Sí,Transferencia Bancaria,56.45,3985.35,0
130,2876-GZYZC,Feminino,0,No,No,4,13,Sí,Sí,Oro,No,No,No,No,No,Sí,Mensual,Sí,Transferencia Bancaria,85.95,1215.65,0
131,6207-WIOLX,Feminino,0,Sí,Sí,6,25,No,No,Plata,Sí,No tiene acceso,Sí,No,Sí,Sí,Mensual,Sí,Tarjeta de credito (Domeciliado,58.6,1502.65,1
132,8587-XYZSF,Masculino,0,No,No,7,67,Sí,No,Plata,No,No tiene acceso,No,Sí,No,No,Anual,No,Transferencia Bancaria (Domiciliado),50.55,3260.1,0
133,3091-FYHKI,Masculino,0,No,No,1,1,No,No,Plata,No,No tiene acceso,No,No,No,Sí,Mensual,Sí,Transferencia Bancaria,35.45,35.45,1
134,2372-HWUHI,Masculino,0,No,No,1,2,Sí,No,Plata,No,No tiene acceso,No,No,No,No,Mensual,No,Transferencia Bancaria,44.35,81.25,1
135,7799-LGRDP,Feminino,0,No,No,6,43,Sí,Sí,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,Sí,Tarjeta de credito (Domeciliado,25.7,1188.2,0
136,7850-VWJUU,Feminino,0,No,No,6,23,Sí,No,Oro,Sí,No,No,No,No,No,Mensual,Sí,Transferencia Bancaria (Domiciliado),75.0,1778.5,0
137,3774-VBNXY,Feminino,0,Sí,Sí,7,64,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,No,Pago en tienda,20.2,1277.75,0
138,6217-KDYWC,Masculino,0,No,Sí,9,57,Sí,No,Basico,No tiene acceso por ser usuario basico,No tiene acceso,No tiene acceso por ser usuario basico,No,No,No,Anual,Sí,Pago en tienda,19.6,1170.55,0
139,0390-DCFDQ,Feminino,1,Sí,No,1,1,Sí,No,Oro,No,No,No,No,No,No,Mensual,Sí,Pago en tienda,70.45,70.45,1
140,3146-MSEGF,Feminino,1,Sí,Sí,13,72,Sí,Sí,Plata,Sí,No tiene acceso,Sí,Sí,Sí,Sí,Anual,Sí,Tarjeta de credito (Domeciliado,88.05,6425.65,0
141,4080-OGPJL,Feminino,0,No,No,2,8,Sí,Sí,Plata,Sí,No tiene acceso,No,Sí,No,Sí,Mensual,No,Transferencia Bancaria,71.15,563.65,1
142,1095-WGNGG,Feminino,0,Sí,No,10,61,Sí,Sí,Oro,No,Sí,No,No,Sí,Sí,Anual,Sí,Transferencia Bancaria (Domiciliado),101.05,5971.25,0
